"week_ending","federal_provider_number","provider_name","provider_address","provider_city","provider_state","provider_zip_code","submitted_data","passed_quality_assurance","residents_weekly_admissions","residents_total_admissions","residents_weekly_confirmed","residents_total_confirmed","residents_weekly_suspected","residents_total_suspected","residents_weekly_all_deaths","residents_total_all_deaths","residents_weekly_covid_19","residents_total_covid_19","number_of_all_beds","total_number_of_occupied","resident_access_to_testing","laboratory_type_is_state","laboratory_type_is_private","laboratory_type_is_other","staff_weekly_confirmed_covid","staff_total_confirmed_covid","staff_weekly_suspected_covid","staff_total_suspected_covid","staff_weekly_covid_19_deaths","staff_total_covid_19_deaths","shortage_of_nursing_staff","shortage_of_clinical_staff","shortage_of_aides","shortage_of_other_staff","any_current_supply_of_n95","one_week_supply_of_n95_masks","any_current_supply_of_surgical","one_week_supply_of_surgical","any_current_supply_of_eye","one_week_supply_of_eye","any_current_supply_of_gowns","one_week_supply_of_gowns","any_current_supply_of_gloves","one_week_supply_of_gloves","any_current_supply_of_hand","one_week_supply_of_hand","ventilator_dependent_unit","number_of_ventilators_in","number_of_ventilators_in_1","any_current_supply_of","one_week_supply_of_ventilator","total_resident_confirmed_covid_19_cases_per_1_000_residents","total_resident_covid_19_deaths_per_1_000_residents","total_residents_covid_19_deaths_as_a_percentage_of_confirmed_covid_19_cases","geocoded_state","geolocation"
"2020-06-07T00:00:00.000","055310","MARIN POST ACUTE","234 N. SAN PEDRO RD","SAN RAFAEL","CA","94903","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-119.662127 37.211164)","POINT (-122.52135700000001 38.002962)"
"2020-06-14T00:00:00.000","055329","VILLA SERENA HEALTHCARE CENTER","723 E 9TH STREET","LONG BEACH","CA","90813","N",,"0","0","0","0","0","0","0","0","0","0",,,,,,,"0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-119.662127 37.211164)","POINT (-118.183304 33.777757)"
"2020-05-24T00:00:00.000","055461","CALIFORNIA POST ACUTE","909 S LAKE STREET","LOS ANGELES","CA","90006","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-119.662127 37.211164)","POINT (-118.28002399999998 34.053666)"
"2020-06-07T00:00:00.000","055539","ARTESIA CHRISTIAN HOME INC.","11614 E. 183RD ST","ARTESIA","CA","90701","Y","Y","0","0","0","0","0","0","0","0","0","0","66","54","Y","N","Y","N","0","0","0","0","0","0","N","N","N","N","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","N",,,,,"0.0","0.0",,"POINT (-119.662127 37.211164)",
"2020-06-14T00:00:00.000","056166","AFFINITY HEALTHCARE CENTER","7039 ALONDRA BLVD","PARAMOUNT","CA","90723","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-119.662127 37.211164)","POINT (-118.17589500000001 33.889175)"
"2020-05-31T00:00:00.000","056377","COUNTRY VILLA NORTH","3233 W. PICO BOULEVARD","LOS ANGELES","CA","90019","N",,"0","0","0","0","0","0","0","0","0","0","99","71",,,,,"0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0.0","0.0",,"POINT (-119.662127 37.211164)","POINT (-118.31346 34.04717900000001)"
"2020-06-07T00:00:00.000","056443","GEORGE L MEE MEMORIAL HOSPITAL D/P SNF","300 CANAL STREET","KING CITY","CA","93930","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-119.662127 37.211164)","POINT (-121.132137 36.206819)"
"2020-05-24T00:00:00.000","056463","GATEWAY CARE & REHABILITATION CENTER","26660 PATRICK AVENUE","HAYWARD","CA","94544","Y","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-119.662127 37.211164)","POINT (-122.080773 37.640100000000004)"
"2020-06-07T00:00:00.000","05A109","COMMUNITY CARE CENTER","2335 S. MOUNTAIN AVE","DUARTE","CA","91010","Y","Y","0","0","0","0","0","0","0","0","0","0","167","150","Y","N","Y","N","0","1","0","0","0","0","N","N","N","N","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","N",,,,,"0.0","0.0",,"POINT (-119.662127 37.211164)",
"2020-05-31T00:00:00.000","05A213","SONOMA DEVELOPMENTAL CENTER D/P SNF","P.O. BOX 1493","ELDRIDGE","CA","95431","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-119.662127 37.211164)",
"2020-06-14T00:00:00.000","05A311","FAIRVIEW DEVELOPMENTAL CENTER","2501 HARBOR BOULEVARD","COSTA MESA","CA","92626","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-119.662127 37.211164)","POINT (-117.91926699999999 33.664912)"
"2020-05-31T00:00:00.000","05E062","HARBOR VIEW HOUSE","921 S. BEACON STREET","SAN PEDRO","CA","90731","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-119.662127 37.211164)","POINT (-118.280445 33.735556)"
"2020-05-31T00:00:00.000","065015","MOUNTAIN VISTA HEALTH CENTER","4800 TABOR ST","WHEAT RIDGE","CO","80033","N",,"0","0","0","31","0","3","0","0","0","0","168","87",,,,,"0","14","0","11","0","0",,,,,,,,,,,,,,,,,,,,,,"356.3","0.0","0.0","POINT (-105.547832 38.998552)","POINT (-105.13087 39.785649)"
"2020-05-31T00:00:00.000","065211","FAIRACRES MANOR, INC.","1700 18TH AVE","GREELEY","CO","80631","Y","Y","0","0","0","0","0","0","0","1","0","0","116","85","Y","Y","Y","N","0","0","0","0","0","0","N","N","N","N","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","N",,,,,"0.0","0.0",,"POINT (-105.547832 38.998552)","POINT (-104.708947 40.412397)"
"2020-06-14T00:00:00.000","065291","MONTE VISTA ESTATES LLC","2277 EAST DR","MONTE VISTA","CO","81144","N",,"0","1","0","0","0","1","0","0","0","0","60","34",,,,,"0","0","0","8","0","0",,,,,,,,,,,,,,,,,,,,,,"0.0","0.0",,"POINT (-105.547832 38.998552)","POINT (-106.125343 37.578109)"
"2020-05-24T00:00:00.000","065309","WASHINGTON COUNTY NURSING HOME","676 W GREENHOUSE DR","AKRON","CO","80720","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-105.547832 38.998552)",
"2020-05-31T00:00:00.000","065327","JUNIPER VILLAGE - THE SPEARLY CENTER","2205 W 29TH AVE","DENVER","CO","80211","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-105.547832 38.998552)","POINT (-105.013511 39.758418)"
"2020-06-21T00:00:00.000","065362","MONTAGE HILLS","2500 S ROSLYN ST","DENVER","CO","80231","Y","Y","0","0","0","0","0","0","0","0","0","0","45","20","Y","N","Y","N","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0.0","0.0",,"POINT (-105.547832 38.998552)","POINT (-104.90113200000002 39.668975)"
"2020-05-31T00:00:00.000","065377","CENTRE AVE HEALTH & REHAB","815 CENTRE AVENUE","FORT COLLINS","CO","80526","Y","Y","0","2","0","0","0","0","0","3","0","0","90","76","Y","Y","N","N","0","0","0","1","0","0","N","N","N","N","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","N",,,,,"0.0","0.0",,"POINT (-105.547832 38.998552)","POINT (-105.091749 40.555766)"
"2020-05-24T00:00:00.000","06A190","SPANISH PEAKS VETERANS COMMUNITY LIVING CENTER","23500 US HIGHWAY 160","WALSENBURG","CO","81089","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-105.547832 38.998552)","POINT (-104.819786 37.607688)"
"2020-05-24T00:00:00.000","075034","CAROLTON CHRONIC & CONV HOSP,","400 MILL PLAIN RD","FAIRFIELD","CT","06430","Y","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-72.738288 41.575155)","POINT (-73.265827 41.14486)"
"2020-06-07T00:00:00.000","075117","WITHERELL, NATHANIEL","70 PARSONAGE RD","GREENWICH","CT","06830","Y","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-72.738288 41.575155)","POINT (-73.624382 41.059487)"
"2020-05-24T00:00:00.000","075195","PARKWAY PAVILION HEALTH AND REHABILITATION CENTER","1157 ENFIELD STREET","ENFIELD","CT","06082","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-72.738288 41.575155)","POINT (-72.593179 41.986582)"
"2020-06-21T00:00:00.000","075205","WESTFIELD CARE & REHAB CENTER","65 WESTFIELD RD","MERIDEN","CT","06450","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-72.738288 41.575155)","POINT (-72.780579 41.547965)"
"2020-05-24T00:00:00.000","075296","BRANFORD HILLS HEALTHCARE CTR","189 ALPS RD","BRANFORD","CT","06405","Y","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-72.738288 41.575155)","POINT (-72.846696 41.264185)"
"2020-05-24T00:00:00.000","075317","WILTON MEADOWS HEALTH CARE CEN","439 DANBURY RD RT 7","WILTON","CT","06897","Y","Y","8","8","28","28","0","0","21","21","7","7","94","94","Y","N","Y","N","0","0","0","0","0","0","N","N","N","N","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","N",,,,,"297.9","74.5","25.0","POINT (-72.738288 41.575155)",
"2020-05-31T00:00:00.000","075340","WATERTOWN CONVALARIUM, INC","560 WOODBURY ROAD","WATERTOWN","CT","06795","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-72.738288 41.575155)","POINT (-73.138173 41.60198)"
"2020-05-24T00:00:00.000","075346","ROSE HAVEN, LTD","33 NORTH ST","LITCHFIELD","CT","06759","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-72.738288 41.575155)","POINT (-73.190329 41.748332)"
"2020-05-24T00:00:00.000","075417","THREE RIVERS","60 CROUCH AVENUE","NORWICH","CT","06360","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-72.738288 41.575155)","POINT (-72.072157 41.504801)"
"2020-06-07T00:00:00.000","105009","GOLFCREST HEALTHCARE CENTER","600 NORTH 17TH AVE","HOLLYWOOD","FL","33020","N",,"0","4","0","7","0","0","0","2","0","2","67","42",,,,,"0","6","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"166.7","47.6","28.6","POINT (-82.42097800000002 28.260731)","POINT (-80.14154 26.016484000000002)"
"2020-05-24T00:00:00.000","105159","GREENBRIAR REHABILITATION AND NURSING CENTER","210 21ST AVE W","BRADENTON","FL","34205","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-82.42097800000002 28.260731)","POINT (-82.564539 27.480769)"
"2020-05-24T00:00:00.000","105384","CALUSA HARBOUR","2525 FIRST ST","FORT MYERS","FL","33901","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-82.42097800000002 28.260731)","POINT (-81.864238 26.647471)"
"2020-05-24T00:00:00.000","105432","RIVERSIDE CARE CENTER","899 NW 4TH STREET","MIAMI","FL","33128","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-82.42097800000002 28.260731)","POINT (-80.209013 25.777563)"
"2020-05-24T00:00:00.000","105478","ADVANCED CARE CENTER","401 FAIRWOOD AVE","CLEARWATER","FL","33759","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-82.42097800000002 28.260731)","POINT (-82.724356 27.970223)"
"2020-06-21T00:00:00.000","105484","OKEECHOBEE HEALTH CARE FACILITY","1646 HIGHWAY 441 N","OKEECHOBEE","FL","34972","Y","Y","0","0","0","1","0","0","0","5","0","0","180","165","Y","Y","Y","N","6","9","0","6","0","0","N","N","N","N","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","N",,,,,"6.1","0.0","0.0","POINT (-82.42097800000002 28.260731)",
"2020-05-24T00:00:00.000","105519","NSPIRE HEALTHCARE PLANTATION","6931 W SUNRISE BLVD","PLANTATION","FL","33313","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-82.42097800000002 28.260731)","POINT (-80.243452 26.148849)"
"2020-05-24T00:00:00.000","105544","SOLARIS HEALTHCARE BAYONET POINT","7210 BEACON WOODS DR","HUDSON","FL","34667","Y","Y","0","0","0","0","0","0","0","0","0","0","180","147","Y","Y","N","N","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0.0","0.0",,"POINT (-82.42097800000002 28.260731)","POINT (-82.69554 28.338302)"
"2020-05-24T00:00:00.000","105616","CARRINGTON PLACE OF ST PETE","10501 ROOSEVELT BLVD N","SAINT PETERSBURG","FL","33716","Y","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-82.42097800000002 28.260731)","POINT (-82.643679 27.867554000000002)"
"2020-05-24T00:00:00.000","105665","OAKTREE HEALTHCARE","650 REED CANAL RD","SOUTH DAYTONA","FL","32119","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-82.42097800000002 28.260731)","POINT (-81.003447 29.158530000000003)"
"2020-05-24T00:00:00.000","105697","EAST BAY REHABILITATION CENTER","4470 E BAY DR","CLEARWATER","FL","33764","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-82.42097800000002 28.260731)","POINT (-82.740891 27.916488000000005)"
"2020-05-24T00:00:00.000","105730","SPRING LAKE REHABILITATION CENTER","1540 6TH ST NW","WINTER HAVEN","FL","33881","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-82.42097800000002 28.260731)","POINT (-81.733073 28.037302)"
"2020-05-31T00:00:00.000","105743","FLEET LANDING","ONE FLEET LANDING BLVD","ATLANTIC BEACH","FL","32233","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-82.42097800000002 28.260731)",
"2020-05-24T00:00:00.000","105803","HIALEAH NURSING AND REHABILITATION CENTER","190 W 28TH STREET","HIALEAH","FL","33010","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-82.42097800000002 28.260731)","POINT (-80.286094 25.847271)"
"2020-05-24T00:00:00.000","105812","ROYAL CARE OF AVON PARK","1213 W STRATFORD RD","AVON PARK","FL","33825","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-82.42097800000002 28.260731)","POINT (-81.51721 27.628341)"
"2020-06-14T00:00:00.000","105926","WESTMINSTER SUNCOAST","1095 PINELLAS POINT DR S","SAINT PETERSBURG","FL","33705","Y","Y","0","0","0","0","0","0","0","0","0","0","120","111","Y","N","Y","N","0","0","0","0","0","0","N","N","N","N","Y","N","Y","Y","Y","N","Y","N","Y","Y","Y","Y","N",,,,,"0.0","0.0",,"POINT (-82.42097800000002 28.260731)","POINT (-82.649064 27.704842)"
"2020-06-21T00:00:00.000","105978","GULF SHORE CARE CENTER","6767 86TH AVE N","PINELLAS PARK","FL","33782","Y","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-82.42097800000002 28.260731)","POINT (-82.73217 27.85013)"
"2020-05-24T00:00:00.000","106089","KEY WEST HEALTH AND REHABILITATION CENTER","5860 W JUNIOR COLLEGE RD","KEY WEST","FL","33040","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-82.42097800000002 28.260731)",
"2020-05-24T00:00:00.000","106091","ADDINGTON PLACE AT WELLINGTON GREEN","10330 NUVISTA AVENUE","WELLINGTON","FL","33414","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-82.42097800000002 28.260731)","POINT (-80.208196 26.640537)"
"2020-05-24T00:00:00.000","106119","ADVENTHEALTH CARE CENTER WATERMAN","4501 WATERMAN WAY","TAVARES","FL","32778","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-82.42097800000002 28.260731)",
"2020-06-21T00:00:00.000","106130","ORLANDO HEALTH CENTER FOR REHABILITATION","1300 HEMPEL AVENUE","OCOEE","FL","34761","N",,"0","0","0","0","0","0","0","0","0","0","110","66",,,,,"0","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"0.0","0.0",,"POINT (-82.42097800000002 28.260731)","POINT (-81.522794 28.527139)"
"2020-05-31T00:00:00.000","115099","HABERSHAM HOME","HIGHWAY 441 NORTH, BOX 37","DEMOREST","GA","30535","Y","Y","0","1","0","66","0","123","6","34","6","15","84","57","Y","N","Y","N","0","53","1","185","0","0","N","N","N","N","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","N",,,,,"1157.9","263.2","22.7","POINT (-83.426574 32.638481)",
"2020-06-07T00:00:00.000","115271","EARLY MEMORIAL NURSING FACILITY","11740 COLUMBIA STREET","BLAKELY","GA","39823","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-83.426574 32.638481)","POINT (-84.946245 31.374382)"
"2020-05-24T00:00:00.000","115275","A.G. RHODES HOME, INC, THE","350 BOULVARD, S.E.","ATLANTA","GA","30312","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-83.426574 32.638481)",
"2020-05-31T00:00:00.000","115348","ETOWAH LANDING","809 SOUTH BROAD STREET","ROME","GA","30161","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-83.426574 32.638481)","POINT (-85.183124 34.240614)"
"2020-05-31T00:00:00.000","115556","BRIGHTMOOR HEALTH CARE, INC","3235 NEWNAN ROAD","GRIFFIN","GA","30223","Y","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-83.426574 32.638481)","POINT (-84.348751 33.240951)"
"2020-06-07T00:00:00.000","115579","HEALTHCARE AT COLLEGE PARK, LLC","1765 TEMPLE AVENUE","COLLEGE PARK","GA","30337","Y","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-83.426574 32.638481)","POINT (-84.44864600000001 33.655714)"
"2020-06-14T00:00:00.000","115592","COUNTRYSIDE HEALTH CENTER","233 CARROLLTON  STREET","BUCHANAN","GA","30113","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-83.426574 32.638481)","POINT (-85.186099 33.799015)"
"2020-06-07T00:00:00.000","115606","CANTON NURSING CENTER","321 HOSPITAL ROAD","CANTON","GA","30114","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-83.426574 32.638481)","POINT (-84.491768 34.248023)"
"2020-06-14T00:00:00.000","115611","VISTA PARK HEALTH AND REHABILITATION","1310 WEST  GORDON STREET","DOUGLAS","GA","31533","Y","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-83.426574 32.638481)","POINT (-82.867771 31.514513)"
"2020-06-14T00:00:00.000","125067","ISLANDS SKILLED NURSING & REHABILITATION","1205 ALEXANDER STREET","HONOLULU","HI","96826","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-157.854309 21.361013)","POINT (-157.831968 21.29772)"
"2020-05-31T00:00:00.000","135146","CASCADIA OF BOISE","6000 W DENTON ST","BOISE","ID","83704","Y","Y","0","0","0","0","0","0","0","2","0","0","99","70","Y","Y","Y","N","0","0","0","0","0","0","N","N","N","N","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","2","0","Y","Y","0.0","0.0",,"POINT (-114.659366 44.389073)",
"2020-06-07T00:00:00.000","145173","HEATHER HEALTH CARE CENTER","15600 SOUTH HONORE STREET","HARVEY","IL","60426","Y","Y","0","3","0","1","0","2","0","0","0","0","173","139","Y","Y","Y","N","0","1","0","1","0","0","N","N","N","N","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","N",,,,,"7.2","0.0","0.0","POINT (-89.148632 40.124144)",
"2020-05-31T00:00:00.000","145241","HELIA SOUTHBELT HEALTHCARE","101 SOUTH BELT WEST","BELLEVILLE","IL","62220","Y","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-89.148632 40.124144)","POINT (-89.98624 38.502443)"
"2020-05-24T00:00:00.000","145454","CARLINVILLE REHAB & HCC","751 NORTH OAK STREET","CARLINVILLE","IL","62626","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-89.148632 40.124144)","POINT (-89.885651 39.288574)"
"2020-05-24T00:00:00.000","145482","SHERIDAN VILLAGE NRSG & RHB","5838 NORTH SHERIDAN ROAD","CHICAGO","IL","60660","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-89.148632 40.124144)","POINT (-87.655337 41.988403)"
"2020-06-21T00:00:00.000","145526","GOTTLIEB MEMORIAL HOSPITAL","701 WEST NORTH AVENUE","MELROSE PARK","IL","60160","Y","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-89.148632 40.124144)","POINT (-87.841101 41.908342)"
"2020-06-14T00:00:00.000","145555","EDWARDSVILLE NSG & REHAB CTR","401 ST MARY DRIVE","EDWARDSVILLE","IL","62025","Y","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (-89.148632 40.124144)",
"2020-05-31T00:00:00.000","145571","CEDAR RIDGE HEALTH & REHAB CTR","ONE PERRYMAN STREET","LEBANON","IL","62254","Y","Y","0","0","0","0","0","1","0","0","0","0","110","103","Y","Y","Y","N","3","3","0","0","0","0","N","N","N","N","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","N",,,,,"0.0","0.0",,"POINT (-89.148632 40.124144)",
